Formula,Sites,Energy_Above Hull,Formation_Energy,Volume,Density,Band_Gap
RbCO3,40,0.057108608750000005,-1.724141092,665.1907820163016,2.905268685748301,3.9411
KCO3,40,0.07472166549999801,-1.735766983,644.8000084546517,2.041828479570715,4.1733
KCO3,20,0.060309910375002,-1.471054478,300.7664491449145,2.188693294470153,1.2657
MgSiO3,40,0.007678037916668001,-3.223359357,414.5371506675578,3.217069600188835,4.7797
RbPO3,20,0,-2.681060582,330.3261195543584,3.306534152028769,5.1118999999999994
NaPO3,40,0.012073410750000001,-2.633496923,510.7728274098804,2.651847224484299,5.208699999999999
KPO3,40,0,-2.685668052,641.5459608291362,2.44484784723836,5.1269
MgSiO3,40,0.108532085416669,-3.12250531,441.3797870132442,3.021422604296746,3.788599999999999
TcO3F,20,0.021290894375002003,-1.926119504,300.9302824080249,3.641817676539584,2.444499999999999
CaCO3,20,0.0008676930000000001,-2.686676765,244.95879367681044,2.713896574072206,5.0106
CdSO3,40,0.09623067275000001,-1.632222597,624.5645595014557,4.093872104016965,3.2188
KPO3,60,0.0036307173333320003,-2.682037335,1005.7576849014606,2.339254700387278,5.243
KPO3,40,0.00042897149999900004,-2.685239081,641.9825133506407,2.443185333898494,5.216
CaSeO3,20,0,-2.306927036,284.23135478673646,3.9034417697445982,4.2602
NaPO3,40,0.007900110499999,-2.637670223,505.43098701036615,2.679874284560059,5.158
CaTeO3,60,0.013229042933333001,-2.397842235,1069.212964582537,4.019465917819278,3.297499999999999
CdSiO3,60,0,-2.535608516,766.931992499724,4.897479561547846,2.8901
SrSiO3,40,0.036027445500000005,-3.405199028,565.4296903578274,3.846085818732822,4.8212
LaMnO3,20,0.42006592852380803,-2.715198872,332.11459568010025,4.836735523395796,1.6926
CaSiO3,60,1.4276166666604692e-05,-3.448033939,797.3329242079571,2.90304391106308,5.1355
CaMoO3,20,0,-2.619377736,251.53959017651147,4.859133129267733,1.105
RbPO3,40,0.0024709204999990002,-2.678589662,710.7564179441404,3.073442794292052,5.0926
ZnSiO3,40,0.058844105166671004,-2.635991705,457.4908908673707,4.108569777960076,3.3367
MgSiO3,40,0.125716575166669,-3.10532082,391.20602870805635,3.408932295766626,5.1709
CaSiO3,60,0.350361400999999,-3.097686814,1157.9363364694277,1.998980788330364,3.0437
ScFeO3,20,0.138111688874998,-2.699800308,201.36983821600379,4.908118132097733,1.2694
MgSO3,40,0.05739550142857101,-2.274181339,511.06165747636624,2.712901206739214,4.9221
MgSO3,20,0.07342707442857101,-2.258149766,248.29017437019598,2.792015009862193,5.0797
YSeO3,40,0,-2.499224003,621.1035251012897,4.6169525512326075,1.836899999999999
LaAlO3,40,0.057118826749999005,-3.665347736,569.581153201603,4.988433941703543,4.4777000000000005
CuPO3,40,0.088344154750001,-1.920938613,527.1976932446773,3.591163567301569,1.7481
AgPO3,20,0.045444828500007,-1.912603329,264.7268375552521,4.6879325281271225,2.287
BaSiO3,40,0.038919864249999006,-3.365093342,643.3305773691544,4.406777069787621,4.9408
AgClO3,20,0.048604945499998005,-0.396924448,309.0459323760985,4.111923887247284,3.113099999999999
LaAlO3,60,0.035810256333331,-3.686656307,942.8090747140237,4.520509029965628,4.2491
CdSO3,20,0.096276929749999,-1.63217634,300.59403038203004,4.253057560808945,3.334699999999999
ReClO3,20,0,-1.857124685,382.57011136113016,4.681787337080834,3.5834
CaSiO3,10,0.241314701833333,-3.206733513,93.95182669325759,4.106169037509772,3.6891
CaTiO3,10,0.017396585500002,-3.538690572,112.41312515722095,4.016239102380592,2.2434
TaHO3,20,0.07708952375000201,-2.649505566,307.8120957223327,4.9620874428036785,2.9434
SbHO3,20,0.027953794749986,-1.579670966,291.3018060569421,3.8937464969517612,1.416
RbNO3,45,0.017042036888889,-1.404051305,678.5479925443076,3.248049718928205,3.248199999999999
CsNO3,45,0,-1.414554425,782.5278761941025,3.722431331775072,3.2965
RbNO3,45,0.039445733111111006,-1.381647608,870.4031761296334,2.5321111835356973,3.1337
KIO3,40,0.001063786999999,-1.36555921,704.0856635733552,4.037656090559175,2.8533
KIO3,5,0.006163047999998001,-1.360459949,92.38239400710273,3.846587597069343,2.529499999999999
FeBiO3,5,0.588621641000001,-1.085787643,119.2804837913782,4.354910310918767,1.1601
FeBiO3,5,0.44027724500000004,-1.234132039,128.43770899214786,4.044418207321099,1.7789000000000001
NaNbO3,10,0.003141929999998,-2.841680835,129.43938864437823,4.205102830362381,3.837399999999999
LiNbO3,10,0.020706871000003003,-2.878810781,117.21291827347063,4.189015426462623,3.684
AlVO3,20,0.019815870624997,-2.96073348,186.1127752626733,4.493987813890738,1.569
AlFeO3,20,0.032552852499998,-2.534268328,193.12520973604154,4.499455863270265,2.1792
CdSO3,30,0.09906163908333301,-1.629391631,451.7822968281786,4.244667362884329,3.0449
TiMnO3,10,0,-2.954604056,107.83263051258717,4.644506556173096,2.004899999999999
TiFeO3,10,0.012041214999998,-2.717671578,102.67577859097742,4.907110856305436,2.7436
MgGeO3,10,0.031802013000004,-2.53393594,101.02990576537422,4.764605969186327,3.633899999999999
MgTiO3,10,0,-3.362936646,102.5186191467851,3.8928989368345963,3.529499999999999
NaSbO3,10,0,-2.056832527,128.83098377675014,4.9687664196043855,2.7012
FeSO3,30,0.105119724025639,-1.648084415,384.9725636587033,3.517355212430613,2.7701000000000002
KSbO3,10,0,-2.049127173,153.64624010469555,4.514453166273659,2.6808
MnSO3,30,0.072606875238095,-1.872046515,403.6738695338799,3.332019111680299,3.339
MgSiO3,10,0.11707234016666901,-3.113965055,90.81105492543924,3.671345043443368,5.7928
TiSnO3,10,0.0021027584999990002,-2.754611474,156.7978330522059,4.544839624216931,1.1086
CaTiO3,10,0.028352689,-3.527734469,124.95341697913328,3.613170410158765,3.570599999999999
MgSO3,30,0.04840998342857,-2.283166857,366.17673124008184,2.839734892336902,5.009399999999999
CuPO3,30,0.027981132833335,-1.981301635,516.1115298012884,2.751226778649929,2.0492
TiGeO3,10,0.06877411550000301,-2.683055855,142.2873660627807,3.9330191466442272,1.1348999999999991
LiAsO3,10,0,-1.984634626,94.39200396968975,4.569008444596072,3.385799999999999
NaVO3,20,0.042872946,-2.332874733,316.5071104649094,2.558787975560403,3.2243
MnGeO3,20,0.012176887999999001,-2.123705891,236.28735002760635,4.935536565209603,1.1435
VAgO3,20,0.011701726000012002,-1.743254704,287.6306546239166,4.7757440552437025,1.9488
SrTeO3,120,0.0043323338333330005,-2.376692981,2262.2976675373766,4.636886935741783,3.3726000000000003
MgSiO3,20,0.40248599716667005,-2.828551398,217.49262407096256,3.065839292845121,2.2265
CoCO3,10,0.421501476999998,-1.244202776,239.14484629654737,1.6517855054742192,1.5474
CaCO3,30,0.007298891666666,-2.680245566,376.2607498876414,2.650261146612592,4.9216
MnBO3,20,0.020367710552088,-2.408723778,181.03091068377702,4.17346945507131,1.3314
SrGeO3,30,0,-2.743115335,480.6018637681073,4.31734751498995,3.4179
CaSiO3,30,0.020327960500000002,-3.427720254,410.09472876363435,2.8221436760360623,4.7336
FeSiO3,20,0.01821575466667,-2.574583753,233.00914797180513,3.760758103493171,1.452199999999999
NaVO3,20,0,-2.375747678,276.591046048342,2.928057867409888,3.2386
LiVO3,20,0,-2.427956694,231.8214352176776,3.033697700712837,3.0342
LiVO3,20,0,-2.427194401,293.78309915898933,2.393861855937532,2.8357
SrSiO3,30,0,-3.441226473,447.8557103265806,3.641838872596811,4.6251
MgSiO3,20,0.019268999666670002,-3.211768395,201.48154164904648,3.309471564110922,4.5304
MgGeO3,20,0.011727870000003,-2.554010083,217.50525204727657,4.426262699821197,2.5261
LiAsO3,20,0.035774916999996,-1.948859709,229.1600080770351,3.7639888989258443,2.9408000000000003
CaSiO3,60,0.020230711166667,-3.427817504,819.3157372160958,2.8251532169722333,4.707999999999999
FeSiO3,20,0.084083833666671,-2.508715674,230.27623832947737,3.805390637696693,2.9807
ZnSiO3,20,0.05023560116667,-2.644600209,234.7613099162203,4.003285823759669,3.4371
NiSeO3,80,0.06596378,-1.18914056,1093.2087541890753,4.511954129829118,3.0748
MgSiO3,20,0.191289210666671,-3.039748184,194.44017702385622,3.429319202373175,5.0422
MgSiO3,20,0.009410846166669,-3.221626549,215.11685793979493,3.099698643643108,4.544399999999999
VAgO3,20,0.023145989000012003,-1.731810441,293.51845214034967,4.679945601066319,1.918899999999999
CaCO3,10,1.872706779999999,-0.814837678,118.88023144734049,2.7960613083212023,1.5162
LiVO3,20,0.000762292500001,-2.427194401,272.33946013428664,2.582351285594247,2.7113
NaSeO3,40,0.074092650749999,-1.497195065,800.7986900801808,2.487461221214992,3.097299999999999
BSbO3,20,0.047189438666666,-2.227707467,313.2766235360048,3.828465813252713,3.7211
LiNbO3,20,0.035907200000004004,-2.863610452,252.98420898728443,3.8817183475111703,3.4233000000000002
CoBO3,20,0.199436286222223,-1.937578791,231.93289533114293,3.371938187783153,1.0669
CaGeO3,30,0.030071428999999,-2.719910516,438.5384044777961,3.651340808611135,3.413499999999999
BaSiO3,30,0,-3.404013206,518.5696943364608,4.100241203264657,4.6708
CaCO3,15,0.008233730666665,-2.679310727,185.64780423579597,2.685701698782225,5.662
RbSO3,30,0.007402475854163,-2.077418668,572.7515827231946,2.879475505870826,5.0206
KSO3,30,0.012870133793858,-2.07382221,512.648739732601,2.315881936093708,4.9772
KSO3,30,0.010801598460523,-2.075890745,531.65818069242,2.233077565667677,4.995
SrCO3,5,0.031704978,-2.6672573,74.53905776639496,3.288793327351459,4.5332
NaNO3,5,0.011083451000000001,-1.352113518,62.10209025539654,2.27266052412962,2.8579
BaCO3,5,0.049050461000001,-2.6337288,88.92776224512441,3.6848332052866493,4.1409
RbNO3,5,0.034432865999999,-1.004698469,99.17254870019707,2.469273834509157,3.6119
KNO3,5,0.029374414,-1.392764183,86.26040384144711,1.9462674195383871,3.0153
RbNO3,5,0.021033902,-1.40005944,101.42668501949434,2.414395970448158,2.981499999999999
AgClO3,5,0.092817574499997,-0.352711819,76.84405818753127,4.134260284941861,2.7117
RbNO3,5,0,-1.421093342,95.30445599134761,2.569493493874137,3.0415
RbNO3,5,0.002894118,-1.036237217,85.3433628690583,2.869399228885623,3.6337
KBrO3,5,0,-1.044634649,83.95967616702733,3.302905240368695,3.8569
RbClO3,5,0.065171114000001,-1.144268821,95.64282469113215,2.932751092377686,5.3288
RbIO3,5,0,-1.372529544,92.3005840532074,4.684210199306742,2.8369
RbBrO3,5,0,-1.052957117,88.91758517584954,3.9846923411126793,3.9953000000000003
CsBrO3,5,0,-1.058973332,99.77612005813248,4.340530525699314,4.1681
BaCO3,5,0.021844735000001003,-2.660934526,75.0831109614839,4.364283352094535,4.3635
KClO3,5,0.06199335787500101,-1.137666698,89.1498594092199,2.28265342975124,5.0728
KIO3,5,0.006770148499999001,-1.359852849,87.36269032913107,4.067605629319784,2.568199999999999
KNO3,5,0.0026409535000000003,-1.419497643,74.61614758460318,2.249993051470205,2.9813
KNbO3,5,0,-2.85212768,66.42558683114697,4.499799378518349,2.2934
CsClO3,5,0.068161465625002,-1.151050085,109.0794275572189,3.293642814638612,5.465800000000001
AgNO3,5,0.031171343000002003,-0.649492202,66.94305711049056,4.21374420425511,1.7204000000000002
KIO3,10,0.001404900499999,-1.365218097,175.49877238480562,4.049680418232495,2.8548
TiFeO3,10,0.031773749999999004,-2.697939043,102.29482436671371,4.925385335207109,2.052199999999999
TiMnO3,10,0.036319112499999,-2.918284944,106.62481101239541,4.697118378262631,1.7771999999999992
LiNbO3,40,0,-2.899517652,429.06236195769645,4.577485851594526,3.3358
NaNbO3,10,0,-2.844822765,121.69003756668431,4.472888253079711,2.5048
AgNO3,10,0,-0.680663545,125.10450403344892,4.509524594558627,1.853899999999999
CsAsO3,10,0.10051655749999401,-1.788139333,219.97981958535757,3.862243598557912,2.192
GaBO3,10,0.003771963166665,-2.529754526,85.93315290339086,4.967413209102039,3.8638999999999992
MnCO3,10,0,-2.012984637,102.17288915450139,3.736292363626721,3.2291
VBO3,10,0,-2.726639266,89.69635938619571,4.063605840500683,1.874699999999999
FeBO3,10,0,-2.270362332,90.18607292723622,4.222110400646406,1.481599999999999
NaNO3,40,0.0012383167500000002,-0.993375576,479.47577927109955,2.354854615662652,3.5713
SrCO3,10,0.023224608,-2.67573767,148.78143430174455,3.2953514255281,4.6569
RbNO3,10,0.023134585000000003,-1.397958757,182.09644394540166,2.689609684859149,3.0358
CaCO3,10,0,-2.687544458,122.9495072208524,2.703519704858185,4.999499999999999
CdCO3,10,0,-1.754963527,115.52902720431366,4.956502910786648,2.6226000000000003
NaNO3,20,0,-1.363196969,240.02135177682453,2.352073562532149,2.9451
MgCO3,10,0,-2.442030675,92.55709187868767,3.025300863741853,4.9603
LiNbO3,10,0.033008032000003004,-2.86650962,111.44215867790756,4.405933343837936,2.275
BaCO3,10,0.049906871000001005,-2.63287239,177.2171227211266,3.698107340432591,4.159499999999999
AlBO3,10,0.030454673153846003,-3.118357857,81.46986382228383,3.497216426150522,5.8392
LiNO3,10,0,-1.386762499,92.80084348909155,2.467377582518515,2.9369
ScBO3,10,0,-3.436941157,100.67384890531,3.423054231058334,4.118
ZnCO3,10,0,-1.82201475,93.45393807406116,4.456983341587755,3.5639000000000003
NaNbO3,40,0.042480686749998005,-2.802342079,519.1161887785881,4.1940972084074755,1.7575
LiIO3,10,0.0008651204999980001,-1.385046749,131.047417289717,4.608385640769319,3.686099999999999
CaCO3,90,0.008068315000000001,-2.679476143,1174.5909952235652,2.54690164613275,4.9434000000000005
AlCrO3,30,0.35214237549999905,-2.544427013,306.4745698006157,4.12787933393825,1.1578
YCrO3,30,0.157926261166666,-3.033086389,385.45425811357677,4.882697318692063,1.3989
