formula,Eg
RbSeO3,0.028
SrSeO3,3.705
ZnSeO3,3.913
BaSiO3,2.125
BeSiO3,0.256
CaSiO3,4.881
CdSiO3,2.577
CoSiO3,2.604
CuSiO3,0.072
FeSiO3,2.631
MgSiO3,3.738
MnSiO3,2.606
SrSiO3,4.61
ZnSiO3,3.572
BaSnO3,0.378
CaSnO3,2.921
CdSnO3,0.958
FeSnO3,0
MnSnO3,0.86
SrSnO3,1.741
TaSnO3,0
TiSnO3,1.102
VSnO3,0
ZnSnO3,1.077
CsTaO3,1.859
KTaO3,2.111
LiTaO3,3.7
NaTaO3,2.618
RbTaO3,3.541
BaTbO3,0
SrTbO3,0
BaTcO3,0
CaTcO3,0
SrTcO3,0
AgTeO3,1.421
BaTeO3,2.714
CaTeO3,2.916
CdTeO3,2.973
CoTeO3,2.135
CuTeO3,0
HgTeO3,2.144
SrTeO3,3.471
ZnTeO3,3.473
BaTiO3,1.666
CaTiO3,1.828
EuTiO3,0
GdTiO3,0
LaTiO3,0
MgTiO3,3.499
NdTiO3,0
SmTiO3,0
SrTiO3,1.849
YTiO3,0
LaTlO3,0.35
CeTmO3,0
LaTmO3,4.396
EuUO3,0
KUO3,0.451
LiUO3,0.517
NaUO3,0.431
RbUO3,0.533
BaVO3,0
CaVO3,0.236
CeVO3,0.048
CsVO3,3.114
DyVO3,1.549
ErVO3,1.571
GdVO3,0
HoVO3,1.571
KVO3,3.041
LaVO3,0.998
LiVO3,2.826
LuVO3,1.58
MgVO3,2.697
MnVO3,0.301
NaVO3,3.23
NdVO3,1.034
PrVO3,1.238
PuVO3,0
RbVO3,3.056
SmVO3,1.549
SrVO3,0.245
TbVO3,1.523
TlVO3,2.977
TmVO3,1.582
YVO3,1.563
YbVO3,0.364
NaWO3,0
LaYO3,4.325
LaYbO3,0
BaZrO3,3.037
CaZrO3,3.826
EuZrO3,0.345
SrZrO3,3.624
AlSiP3,0.334
CeSiP3,0
TaAgS3,0
PrBS3,2.417
RbBS3,2.299
SmBS3,2.354
TbBS3,2.326
TlBS3,1.644
InBiS3,1.406
YbCeS3,0.072
CeCrS3,0
LaCrS3,0.057
NdCrS3,0
SmCrS3,0
UCrS3,0
TaCuS3,0.42
CeDyS3,0
CeErS3,0
LaErS3,0.879
UFeS3,0
CsGaS3,2.445
InGaS3,2.093
LaGaS3,2.201
EuGeS3,0
SnGeS3,1.606
BaHfS3,1.242
CaHfS3,1.515
EuHfS3,0.015
SrHfS3,1.489
CeLuS3,0
LaLuS3,2.25
NdLuS3,0.81
PrLuS3,0.811
YbNdS3,0
CdPS3,1.763
CoPS3,0
CsPS3,1.91
EuPS3,0.757
FePS3,0
HgPS3,1.762
KPS3,1.707
MgPS3,2.843
MnPS3,0.168
NiPS3,0
RbPS3,1.833
SnPS3,2.144
SrPS3,3.129
TlPS3,1.74
VPS3,0.188
GePbS3,1.76
HfPbS3,1.458
PPbS3,2.269
GePdS3,1.384
YbPrS3,0
URhS3,0
CrSbS3,0.589
InSbS3,1.466
CeScS3,0
GdScS3,1.11
YScS3,1.776
CaSnS3,0.811
CsSnS3,1.65
HfSnS3,1.215
SrTiS3,0
TaTlS3,0.598
CeTmS3,0
LaTmS3,0.492
ScUS3,0
LaYbS3,0
CaZrS3,1.188
EuZrS3,0
SrZrS3,0.552
CsAuSe3,1.069
CsBSe3,1.615
RbBSe3,1.502
TlBSe3,0.847
BaBiSe3,0.733
SrBiSe3,0.497
YbCeSe3,0
CeCrSe3,0
NdCrSe3,0
PrCrSe3,0
UCrSe3,0
UFeSe3,0
CrGaSe3,0
CsGaSe3,1.663
NdLuSe3,0.501
PrLuSe3,0.499
UMnSe3,0
YbNdSe3,0
BaPSe3,2.131
CaPSe3,2.127
CdPSe3,1.215
EuPSe3,0.378
FePSe3,0.243
HgPSe3,1.209
KPSe3,1.418
MgPSe3,2.087
MnPSe3,0
NiPSe3,0
RbPSe3,1.125
SnPSe3,1.456
SrPSe3,2.148
UPdSe3,0
YbPrSe3,0
CrSbSe3,0.488
YbSmSe3,0
CsSnSe3,1.273
BaTaSe3,0
CsTeSe3,0.741
BaTiSe3,0
TaTlSe3,0.315
BaVSe3,0
UVSe3,0
LaYbSe3,0
BaZrSe3,0.038
SrZrSe3,0.168
TaFeTe3,0
CrGeTe3,0
BaSbTe3,0.376
AlSiTe3,1.247
CrSiTe3,0.525
CsSiTe3,1.258
InSiTe3,0
KTaTe3,0.418
Cs2AgBiBr6,1.354
Cs2NaLaBr6,3.829
Cs2NaUBr6,0.651
Cs2NaYBr6,4.217
Rb2LiDyBr6,4.186
Cs2AgAuCl6,0.755
Cs2AgBiCl6,1.864
Cs2HgPdCl6,1.252
Cs2KBiCl6,4.003
Cs2KCrCl6,1.778
Cs2KDyCl6,5.102
Cs2KErCl6,5.111
Cs2KEuCl6,0
Cs2KGdCl6,3.047
Cs2KHoCl6,5.119
Cs2KInCl6,3.482
Cs2KLaCl6,4.711
Cs2KNdCl6,5.021
Cs2KPrCl6,5.002
Cs2KScCl6,4.022
Cs2KSmCl6,5.049
Cs2KTbCl6,5.088
Cs2KTmCl6,5.116
Cs2KYbCl6,0
Cs2KYCl6,5.104
Cs2LiBiCl6,3.605
Cs2LiInCl6,3.228
Cs2LiLuCl6,5.339
Cs2LiYCl6,4.899
Cs2NaBiCl6,3.712
Cs2NaCeCl6,0.479
Cs2NaCrCl6,1.542
Cs2NaErCl6,5.348
Cs2NaHoCl6,5.291
Cs2NaLaCl6,4.61
Cs2NaSmCl6,5.072
Cs2NaTbCl6,5.204
Cs2NaTmCl6,5.341
Cs2NaUCl6,0.501
Cs2NaYbCl6,0
Cs2NaYCl6,5.074
K2NaCrCl6,1.57
Rb2LiDyCl6,5.103
Rb2LiErCl6,5.192
Rb2LiHoCl6,5.119
Rb2LiLuCl6,5.268
Rb2LiScCl6,3.728
Rb2LiTbCl6,5.048
Rb2LiTmCl6,5.28
Rb2LiVCl6,0
Rb2LiYbCl6,0
Rb2LiYCl6,4.931
Rb2NaCrCl6,1.561
Rb2NaScCl6,3.922
Rb2NaTmCl6,5.057
Rb2NaVCl6,0
Ba2TiOF6,3.892
Cs2KAgF6,0.574
Cs2KBiF6,4.955
Cs2KCoF6,0
Cs2KCrF6,4.074
Cs2KCuF6,0.907
Cs2KFeF6,4.098
Cs2KMnF6,1.61
Cs2KMoF6,4.113
Cs2KNiF6,0
Cs2KPdF6,0
Cs2KRhF6,2.124
Cs2KScF6,6.822
Cs2KTiF6,0
Cs2KVF6,2.537
Cs2KYF6,6.464
Cs2LiGaF6,6.136
Cs2NaAlF6,6.69
Cs2NaBiF6,5.037
Cs2NaCeF6,0.69
Cs2NaCoF6,0
Cs2NaCrF6,3.952
Cs2NaErF6,6.864
Cs2NaFeF6,3.801
Cs2NaGaF6,5.968
Cs2NaInF6,5.306
Cs2NaMnF6,0
Cs2NaScF6,6.799
Cs2NaTiF6,0.075
Cs2NaTlF6,3.593
Cs2NaVF6,0
Cs2NaYF6,6.865
Cs2RbBiF6,4.786
Cs2RbCuF6,1.128
Cs2RbPdF6,0
Cs2RbYF6,6.211
Cs2TlBiF6,3.077
Cs2TlFeF6,2.898
Cs2TlMoF6,3.888
Cs2TlVF6,0
K2LiAlF6,7.218
K2LiCoF6,2.628
K2LiCrF6,4.168
K2LiCuF6,0.908
K2LiGaF6,6.133
K2LiInF6,5.304
K2LiPdF6,0
K2LiVF6,0
K2NaAlF6,6.858
K2NaCrF6,3.991
K2NaCuF6,1.093
K2NaFeF6,4.092
K2NaGaF6,5.951
K2NaInF6,5.245
K2NaMnF6,1.543
K2NaMoF6,3.896
K2NaNiF6,0
K2NaPdF6,0
K2NaRhF6,2.02
K2NaScF6,6.758
K2NaTiF6,0
K2NaTlF6,3.644
K2NaVF6,0
K2NaYF6,6.254
Na2LiAlF6,6.55
P2IrClF6,0.857
P2RhClF6,1.422
Rb2LiFeF6,3.673
Rb2LiGaF6,6.112
Rb2NaAlF6,6.79
Rb2NaBiF6,4.939
Rb2NaCoF6,0
Rb2NaCrF6,3.948
Rb2NaCuF6,1.084
Rb2NaErF6,6.498
Rb2NaFeF6,4.072
Rb2NaHoF6,6.53
Rb2NaMnF6,1.542
Rb2NaMoF6,4.151
Rb2NaNiF6,0
Rb2NaPdF6,0
Rb2NaRhF6,1.953
Rb2NaScF6,6.91
Rb2NaTiF6,0
Rb2NaVF6,0
Rb2NaYF6,6.47
Ba2AgIO6,0.132
Ba2BiIrO6,0
Ba2BiRuO6,0
Ba2BiSbO6,1.736
Ba2CaBiO6,0
Ba2CaIrO6,0
Ba2CaMoO6,2.262
Ba2CaNbO6,0
Ba2CaOsO6,0
Ba2CaReO6,0
Ba2CaTeO6,2.998
Ba2CaUO6,2.196
Ba2CaWO6,3.324
Ba2CdMoO6,2.582
Ba2CdOsO6,0
Ba2CdReO6,0
Ba2CeNbO6,0
Ba2CePtO6,1.42
Ba2CeTaO6,0
Ba2CoMoO6,1.724
Ba2CoReO6,0.195
Ba2CoWO6,1.843
Ba2CrMoO6,1.202
Ba2CuOsO6,0
Ba2CuTeO6,0.123
Ba2CuWO6,0
Ba2DyBiO6,1.733
Ba2DyMoO6,0
Ba2DyNbO6,2.857
Ba2DyReO6,0
Ba2DySbO6,3.465
